"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L789","ResearchFilterItem","femr.common.models.ResearchFilterItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\ResearchFilterItem.java","23","1","129","2","0","0","0","0","0","0","0","0","1","1","1","26","0","3","11","0","24","0","0.038961","3","0","0","25","0.038961","3","0","0","0","0","0","74","107","12","11","12","11","24","0","24","12","24","28","0","24","12","74","107","12","11","12","11","24","0","24","12","24","28","0","24","12","0","0","55","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","8","0","0","0","0","0"
"L2391","ResearchResultItem","femr.common.models.ResearchResultItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\ResearchResultItem.java","23","1","80","2","0","0","0","0","0","0","0","0","0","0","0","8","0","3","8","0","8","0","0.195122","8","0","0","9","0.195122","8","0","0","0","0","0","33","58","3","3","3","3","8","0","8","3","8","12","0","8","3","33","58","3","3","3","3","8","0","8","3","8","12","0","8","3","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L783","ResearchResultSetItem","femr.common.models.ResearchResultSetItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\ResearchResultSetItem.java","25","1","143","2","0","0","0","0","0","0","0","0","0","1","1","24","1","3","8","0","23","0","0.0224719","2","1","0","24","0.0224719","2","0","0","0","0","0","87","119","11","11","11","11","23","0","23","11","23","27","0","23","11","87","119","11","11","11","11","23","0","23","11","23","27","0","23","11","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L849","SettingItem","femr.common.models.SettingItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\SettingItem.java","21","1","74","2","0","0","0","0","0","0","0","0","6","0","0","12","0","12","2","0","12","0","0.047619","2","1","0","13","0.047619","2","0","0","0","0","0","40","54","6","0","6","0","12","0","12","6","12","12","0","12","6","40","54","6","0","6","0","12","0","12","6","12","12","0","12","6","0","0","28","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","2","0","0","0","0","0"
"L474","TabFieldItem","femr.common.models.TabFieldItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\TabFieldItem.java","21","1","111","2","0","0","0","0","0","0","0","0","0","0","0","20","0","17","12","0","20","0","0.0422535","3","2","0","21","0.0422535","3","0","0","0","0","0","68","91","10","10","10","10","20","0","20","10","20","20","0","20","10","68","91","10","10","10","10","20","0","20","10","20","20","0","20","10","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L893","TabItem","femr.common.models.TabItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\TabItem.java","25","1","93","2","0","0","0","0","0","0","0","0","1","3","3","16","1","9","7","1","14","0","0.0188679","1","1","0","14","0.0188679","1","0","0","0","0","0","52","69","5","6","5","6","13","0","13","5","13","17","0","13","5","52","69","5","6","5","6","13","0","13","5","13","17","0","13","5","0","1","30","0","3","0","0","1","0","0","0","0","0","0","0","0","0","1","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0"
"L691","TeamItem","femr.common.models.TeamItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\TeamItem.java","3","1","31","2","0","0","0","0","0","0","0","0","0","0","0","6","0","5","3","0","6","0","0","0","0","0","7","0","0","0","0","0","0","0","23","29","3","3","3","3","6","0","6","3","6","6","0","6","3","23","29","3","3","3","3","6","0","6","3","6","6","0","6","3","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L700","TripItem","femr.common.models.TripItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\TripItem.java","5","1","51","2","0","0","0","0","0","0","0","0","0","0","0","10","0","5","3","0","10","0","0","0","0","0","11","0","0","0","0","0","0","0","37","47","5","5","5","5","10","0","10","5","10","10","0","10","5","37","47","5","5","5","5","10","0","10","5","10","10","0","10","5","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L464","UserItem","femr.common.models.UserItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\UserItem.java","24","1","153","3","0","0","0","0","0","0","0","0","4","1","1","32","0","11","8","0","27","0.0714286","0.0961538","10","4","2","26","0.0961538","10","0","0","0","0","0","94","130","12","10","12","10","27","0","27","12","27","34","0","27","12","94","130","12","10","12","10","27","0","27","12","27","34","0","27","12","0","1","55","0","10","0","1","2","0","0","0","1","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","9","0","0","0","0","0"
"L1027","VitalItem","femr.common.models.VitalItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\VitalItem.java","24","1","43","2","0","0","0","0","0","0","0","0","0","0","0","4","0","7","1","0","4","0.2","0.157895","3","3","1","4","0.157895","3","0","0","0","0","0","16","20","2","2","2","2","4","0","4","2","4","4","0","4","2","16","20","2","2","2","2","4","0","4","2","4","4","0","4","2","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
